./y2mate.com - Clara Bow_320kbps.mp3|Clara Bow|Taylor Swift|THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY|Pop
./y2mate.com - BLACKBIIRD.mp3|BLACKBIIRD|Beyoncé|COWBOY CARTER|Country
./y2mate.com - Chloe or Sam or Sophia or Marcus_320kbps.mp3|Chloe or Sam or Sophia or Marcus|Taylor Swift|THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY|Pop
./y2mate.com - Sabrina Carpenter  Coincidence Official Lyric Video.mp3|Coincidence|Sabrina Carpenter|Short n' Sweet|
./y2mate.com - Sabrina Carpenter  Dont Smile Official Lyric Video.mp3|Don't Smile|Sabrina Carpenter|Short n' Sweet|
./y2mate.com - 16 CARRIAGES.mp3|16 CARRIAGES|Beyoncé|COWBOY CARTER|Country
./y2mate.com - AMERIICAN REQUIEM.mp3|AMERIICAN REQUIEM|Beyoncé|COWBOY CARTER|Country
./YBlade Of Grass.mp3|Blade Of Grass|Lady Gaga|MAYHEM|Dance Pop
./y2mate.com - Sabrina Carpenter  Bed Chem Official Lyric Video.mp3|Bed Chem|Sabrina Carpenter|Short n' Sweet|
./y2mate.com - AMEN.mp3|AMEN|Beyoncé|COWBOY CARTER|Country
./YAbracadabra.mp3|Abracadabra|Lady Gaga|MAYHEM|Dance Pop
./y2mate.com - Taylor Swift  All You Had To Do Was Stay Taylors Version Lyric Video_320kbps.mp3|All You Had To Do Was Stay (Taylor's Version)|Taylor Swift|1989 (Taylor's Version)|Pop
./YDisease.mp3|Disease|Lady Gaga|MAYHEM|Dance Pop
./y2mate.com - Taylor Swift  Bad Blood Taylors Version Lyric Video_320kbps.mp3|Bad Blood (Taylor's Version)|Taylor Swift|1989 (Taylor's Version)|Pop
./y2mate.com - Down Bad_320kbps.mp3|Down Bad|Taylor Swift|THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY|Pop
./y2mate.com - BODYGUARD.mp3|BODYGUARD|Beyoncé|COWBOY CARTER|Country
./y2mate.com - But Daddy I Love Him_320kbps.mp3|But Daddy I Love Him|Taylor Swift|THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY|Pop
./YGarden Of Eden.mp3|Garden Of Eden|Lady Gaga|MAYHEM|Dance Pop
./YDon't Call Tonight.mp3|Don't Call Tonight|Lady Gaga|MAYHEM|Dance Pop
./y2mate.com - Sabrina Carpenter  Espresso Official Audio.mp3|Espresso|Sabrina Carpenter|Short n' Sweet|
./y2mate.com - Taylor Swift  How You Get The Girl Taylors Version Lyric Video_320kbps.mp3|How You Get the Girl (Taylor's Version)|Taylor Swift|1989 (Taylor's Version)|Pop
./y2mate.com - ALLIIGATOR TEARS.mp3|ALLIIGATOR TEARS|Beyoncé|COWBOY CARTER|Country
./y2mate.com - Taylor Swift  Clean Taylors Version Lyric Video_320kbps.mp3|Clean (Taylor's Version)|Taylor Swift|1989 (Taylor's Version)|Pop
./y2mate.com - Sabrina Carpenter  Dumb and Poetic Official Lyric Video.mp3|Dumb and Poetic|Sabrina Carpenter|Short n' Sweet|
./y2mate.com - Taylor Swift  I Know Places Taylors Version Lyric Video_320kbps.mp3|I Know Places (Taylor’s Version)|Taylor Swift|1989 (Taylor's Version)|Pop
./YDie With A Smile.mp3|Die With A Smile|Lady Gaga & Bruno Mars|MAYHEM|Dance Pop
./y2mate.com - Cassandra_320kbps.mp3|Cassandra|Taylor Swift|THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY|Pop
./y2mate.com - Taylor Swift  Blank Space Taylors Version Lyric Video_320kbps.mp3|Blank Space (Taylor’s Version)|Taylor Swift|1989 (Taylor's Version)|Pop
